Opportunity Number,Supplies Subgroup,Supplies Group,Region,Route To Market,Elapsed Days In Sales Stage,Opportunity Result,Sales Stage Change Count,Total Days Identified Through Closing,Total Days Identified Through Qualified,Opportunity Amount USD,Client Size By Revenue,Client Size By Employee Count,Revenue From Client Past Two Years,Competitor Type,Ratio Days Identified To Total Days,Ratio Days Validated To Total Days,Ratio Days Qualified To Total Days,Deal Size Category
6416653,Garage & Car Care,Car Accessories,Midwest,Reseller,89,Loss,2,18,18,31616,1,1,0,Unknown,0,1,0,3
6416672,Replacement Parts,Car Accessories,Midwest,Reseller,98,Won,2,10,10,16000,1,1,0,Unknown,0,1,0,2
6416736,Garage & Car Care,Car Accessories,Midwest,Reseller,57,Loss,6,49,49,56595,3,4,0,Known,0,0.96748,0.03252,4
6416742,Replacement Parts,Car Accessories,Midwest,Reseller,89,Loss,2,18,18,2617,1,1,0,Unknown,1,0,0,1
6416804,Exterior Accessories,Car Accessories,Midwest,Fields Sales,85,Loss,2,22,22,100000,1,1,0,Unknown,0,1,0,5
6416972,Performance Parts,Performance & Non-auto,Pacific,Reseller,62,Loss,4,43,43,31002,1,1,0,Unknown,0.041763,0.958237,0,3
6417001,Towing & Hitches,Car Accessories,Pacific,Fields Sales,83,Loss,4,24,24,300000,2,2,0,Unknown,0.033613,0.941176,0.02521,6
6417203,Motorcycle Parts,Performance & Non-auto,Midwest,Fields Sales,77,Loss,2,30,30,70000,1,1,0,Unknown,1,0,0,4
6417229,Motorcycle Parts,Performance & Non-auto,Midwest,Reseller,87,Loss,3,20,20,5000,1,1,0,Unknown,0,0.295567,0.704433,1
6417283,Exterior Accessories,Car Accessories,Midwest,Reseller,86,Loss,4,21,21,25000,5,3,0,Known,0,0.410377,0.589623,3
6417293,Car Electronics,Car Electronics,Midwest,Other,54,Loss,2,54,54,0,3,2,0,Unknown,1,0,0,1
6417348,Batteries & Accessories,Car Accessories,Midwest,Fields Sales,72,Loss,3,35,35,125000,1,5,0,Known,0.663842,0.336158,0,5
6417352,Exterior Accessories,Car Accessories,Midwest,Fields Sales,86,Loss,4,21,21,50000,1,1,0,Unknown,0.119617,0.880383,0,4
6417374,Towing & Hitches,Car Accessories,Midwest,Fields Sales,91,Loss,3,17,17,90000,1,4,0,Unknown,0.321212,0.678788,0,4
6417381,Exterior Accessories,Car Accessories,Pacific,Fields Sales,74,Loss,4,33,33,0,4,1,0,Unknown,0.05988,0.194611,0.745509,1
6417387,Garage & Car Care,Car Accessories,Pacific,Other,82,Loss,5,26,26,55000,5,5,0,Unknown,0.066148,0.575875,0.357977,4
6417484,Exterior Accessories,Car Accessories,Midwest,Fields Sales,81,Loss,3,27,27,100000,4,1,0,Unknown,0.632959,0.367041,0,5
6417488,Interior Accessories,Car Accessories,Midwest,Reseller,90,Loss,4,17,17,20000,1,1,0,Unknown,0.005952,0.535714,0.458333,2
6417491,Exterior Accessories,Car Accessories,Midwest,Fields Sales,62,Loss,4,46,46,8000,1,1,0,Unknown,0.182418,0.01978,0.797802,1
6419773,Exterior Accessories,Car Accessories,Midwest,Reseller,24,Won,6,10,10,96571,4,1,0,Unknown,0,0.65625,0.34375,4
6419780,Exterior Accessories,Car Accessories,Midwest,Reseller,77,Loss,2,30,30,7400,2,1,0,Unknown,0,1,0,1
6419815,Shelters & RV,Performance & Non-auto,Midwest,Reseller,91,Loss,2,17,17,15000,3,1,0,Unknown,0,1,0,2
6419816,Exterior Accessories,Car Accessories,Midwest,Reseller,56,Loss,4,23,23,7000,1,2,0,Unknown,0,1,0,1
6419825,Exterior Accessories,Car Accessories,Midwest,Reseller,50,Loss,5,40,40,125000,5,3,0,Unknown,0,0.649254,0.350746,5
6419837,Exterior Accessories,Car Accessories,Midwest,Reseller,91,Loss,2,17,17,25000,3,2,0,Unknown,0,1,0,3
6419909,Motorcycle Parts,Performance & Non-auto,Pacific,Reseller,68,Won,6,3,2,112529,1,1,0,None,0,0.653846,0,5
6419938,Interior Accessories,Car Accessories,Midwest,Reseller,64,Loss,2,43,43,90000,1,1,0,Unknown,0,1,0,4
6419958,Motorcycle Parts,Performance & Non-auto,Pacific,Reseller,16,Loss,3,91,91,93008,1,5,0,Unknown,1,0,0,4
6419973,Motorcycle Parts,Performance & Non-auto,Pacific,Reseller,16,Loss,3,91,91,77507,1,1,0,Unknown,1,0,0,4
6420044,Shelters & RV,Performance & Non-auto,Midwest,Fields Sales,78,Loss,3,29,29,500000,1,5,0,Unknown,0,0.275862,0.724138,7
6420247,Exterior Accessories,Car Accessories,Midwest,Reseller,91,Loss,2,16,16,6900,1,1,0,Unknown,0,1,0,1
6420254,Exterior Accessories,Car Accessories,Pacific,Fields Sales,78,Loss,3,29,29,75000,1,5,0,Known,0.592466,0.407534,0,4
6420262,Performance Parts,Performance & Non-auto,Midwest,Reseller,89,Loss,2,18,18,9000,3,3,0,Unknown,0,1,0,1
6420271,Exterior Accessories,Car Accessories,Midwest,Reseller,88,Loss,2,19,19,5880,1,3,0,Unknown,0,1,0,1
6420296,Replacement Parts,Car Accessories,Pacific,Fields Sales,85,Loss,3,22,22,21000,1,1,0,Unknown,0,0.623318,0.376682,2
6420298,Motorcycle Parts,Performance & Non-auto,Pacific,Other,91,Loss,2,16,16,29998,5,5,0,Known,0,1,0,3
6420312,Exterior Accessories,Car Accessories,Midwest,Reseller,73,Loss,4,33,33,30000,1,3,0,Unknown,0,1,0,3
6420319,Shelters & RV,Performance & Non-auto,Pacific,Other,81,Loss,3,26,26,40000,1,1,0,Unknown,0.488372,0.511628,0,3
6420334,Shelters & RV,Performance & Non-auto,Pacific,Other,86,Loss,2,21,21,40000,1,1,0,Unknown,1,0,0,3
6420342,Motorcycle Parts,Performance & Non-auto,Midwest,Reseller,24,Won,6,7,6,10000,1,5,0,Known,0.342857,0.3,0.228571,2
6420441,Shelters & RV,Performance & Non-auto,Midwest,Fields Sales,20,Loss,5,87,87,150000,2,2,0,Unknown,0,0.121281,0.878719,5
6420445,Batteries & Accessories,Car Accessories,Midwest,Fields Sales,88,Loss,3,19,19,100000,5,1,0,Known,0.315789,0.684211,0,5
6420466,Towing & Hitches,Car Accessories,Pacific,Fields Sales,84,Loss,3,23,23,77507,1,1,0,Unknown,0.013158,0.986842,0,4
6420479,Garage & Car Care,Car Accessories,Midwest,Fields Sales,45,Won,8,19,16,228000,4,3,3,Known,0,0.542105,0.294737,5
6420537,Batteries & Accessories,Car Accessories,Midwest,Fields Sales,80,Won,5,15,15,60000,5,1,4,None,0.324503,0.576159,0.099338,4
6422531,Shelters & RV,Performance & Non-auto,Pacific,Reseller,62,Loss,2,45,45,124011,4,5,0,Known,0,1,0,5
6422538,Shelters & RV,Performance & Non-auto,Pacific,Reseller,76,Loss,3,18,18,155014,1,1,0,Unknown,0,1,0,5
6422548,Exterior Accessories,Car Accessories,Pacific,Reseller,44,Loss,2,63,63,2108,1,1,0,Unknown,0,1,0,1
6422556,Garage & Car Care,Car Accessories,Pacific,Reseller,95,Won,3,12,12,372581,1,1,0,Unknown,0,0.008197,0.991803,6
6422563,Shelters & RV,Performance & Non-auto,Pacific,Reseller,76,Loss,2,31,31,57355,5,5,0,Unknown,0,1,0,4
6422569,Shelters & RV,Performance & Non-auto,Pacific,Reseller,16,Loss,4,77,77,77507,5,1,0,Unknown,0,1,0,4
6422619,Garage & Car Care,Car Accessories,Midwest,Reseller,62,Loss,4,36,36,65000,5,3,0,Unknown,0,1,0,4
6422648,Motorcycle Parts,Performance & Non-auto,Pacific,Reseller,86,Loss,3,21,21,46504,1,1,0,Unknown,1,0,0,3
6422800,Performance Parts,Performance & Non-auto,Pacific,Reseller,79,Loss,4,19,19,4650,1,1,0,Unknown,1,0,0,1
6422805,Exterior Accessories,Car Accessories,Northwest,Reseller,84,Loss,2,23,23,25000,3,2,0,Unknown,0,1,0,3
6422808,Garage & Car Care,Car Accessories,Midwest,Reseller,24,Won,2,0,0,8000,1,1,0,Unknown,0,0,0,1
6422814,Performance Parts,Performance & Non-auto,Pacific,Reseller,62,Loss,3,45,45,6200,1,1,0,Unknown,0.830735,0.169265,0,1
6422938,Shelters & RV,Performance & Non-auto,Pacific,Fields Sales,89,Loss,2,18,18,85258,1,1,0,Unknown,0,1,0,4
6423016,Batteries & Accessories,Car Accessories,Midwest,Fields Sales,43,Loss,2,64,64,50000,5,1,0,Unknown,1,0,0,4
6423123,Garage & Car Care,Car Accessories,Midwest,Reseller,62,Loss,2,45,45,5000,3,2,0,Unknown,0,1,0,1
6423200,Replacement Parts,Car Accessories,Midwest,Fields Sales,59,Loss,2,48,48,0,5,5,0,Known,1,0,0,1
6423228,Batteries & Accessories,Car Accessories,Midwest,Fields Sales,82,Loss,3,25,25,60000,1,1,0,Unknown,0.910569,0.089431,0,4
6423229,Interior Accessories,Car Accessories,Midwest,Fields Sales,89,Loss,2,18,18,250000,4,4,0,None,0,1,0,6
6423252,Shelters & RV,Performance & Non-auto,Pacific,Other,55,Loss,2,52,52,400000,2,5,0,Known,1,0,0,6
6423291,Motorcycle Parts,Performance & Non-auto,Midwest,Reseller,73,Loss,2,34,34,10000,1,5,0,Unknown,0,1,0,2
6423317,Replacement Parts,Car Accessories,Midwest,Fields Sales,89,Loss,5,18,17,30000,4,5,0,Known,0,0.50838,0.446927,3
6423338,Interior Accessories,Car Accessories,Midwest,Fields Sales,64,Loss,3,42,42,100000,1,1,0,Unknown,0.099057,0.900943,0,5
6423344,Batteries & Accessories,Car Accessories,Pacific,Fields Sales,87,Loss,3,20,20,387536,4,4,0,Known,0,0.386935,0.613065,6
6423369,Exterior Accessories,Car Accessories,Midwest,Fields Sales,89,Loss,2,18,18,80000,4,5,0,Unknown,0,1,0,4
6423397,Replacement Parts,Car Accessories,Midwest,Reseller,87,Loss,3,20,20,51000,4,5,0,Unknown,0,0.326531,0.673469,4
6423443,Towing & Hitches,Car Accessories,Pacific,Fields Sales,85,Loss,3,22,22,76000,1,1,0,Unknown,0,0.876712,0.123288,4
6423474,Garage & Car Care,Car Accessories,Midwest,Fields Sales,89,Loss,2,18,18,150,1,1,0,Unknown,0,1,0,1
6423476,Motorcycle Parts,Performance & Non-auto,Pacific,Other,75,Loss,2,32,32,20000,3,2,0,Unknown,1,0,0,2
6423479,Shelters & RV,Performance & Non-auto,Pacific,Telesales,70,Loss,2,37,37,250000,1,1,0,Known,0,1,0,6
6423491,Motorcycle Parts,Performance & Non-auto,Pacific,Fields Sales,71,Loss,5,35,33,160000,4,4,0,Unknown,0,0.189266,0.731638,5
6423522,Exterior Accessories,Car Accessories,Pacific,Fields Sales,91,Loss,4,15,15,310029,1,4,3,Known,0.019481,0.980519,0,6
6423538,Motorcycle Parts,Performance & Non-auto,Pacific,Fields Sales,91,Loss,2,16,16,12401,1,1,0,Unknown,0,0,1,2
6425828,Motorcycle Parts,Performance & Non-auto,Midwest,Reseller,24,Won,4,6,6,8000,3,4,0,Unknown,0,0.919355,0.080645,1
6425840,Exterior Accessories,Car Accessories,Pacific,Reseller,82,Loss,2,25,25,7750,1,1,0,Unknown,1,0,0,1
6425851,Replacement Parts,Car Accessories,Midwest,Reseller,91,Won,2,16,16,3348,1,1,0,Unknown,0,1,0,1
6425938,Car Electronics,Car Electronics,Northwest,Reseller,24,Won,4,5,0,0,5,1,0,Unknown,0,0.02,0,1
6425963,Motorcycle Parts,Performance & Non-auto,Midwest,Reseller,67,Won,3,40,40,129000,2,5,3,Unknown,0.458853,0.541147,0,5
6425976,Garage & Car Care,Car Accessories,Midwest,Reseller,63,Loss,2,44,44,12500,3,2,0,Unknown,0,1,0,2
6425978,Garage & Car Care,Car Accessories,Midwest,Reseller,16,Loss,7,39,39,400000,1,1,0,Unknown,0,0.607692,0.392308,6
6426071,Motorcycle Parts,Performance & Non-auto,Midwest,Reseller,89,Loss,2,18,18,60000,3,2,0,Unknown,0,1,0,4
6426190,Batteries & Accessories,Car Accessories,Pacific,Other,64,Loss,3,43,43,77507,1,1,0,Known,0.095571,0.904429,0,4
6426285,Interior Accessories,Car Accessories,Northwest,Fields Sales,87,Loss,5,20,20,200000,1,5,0,Known,0.015385,0.733333,0.251282,5
6426328,Shelters & RV,Performance & Non-auto,Midwest,Reseller,72,Loss,6,31,31,30000,1,1,0,Unknown,0.028662,0.570064,0.401274,3
6426374,Exterior Accessories,Car Accessories,Midwest,Fields Sales,87,Loss,2,20,20,80000,4,5,0,Known,0,1,0,4
6426436,Batteries & Accessories,Car Accessories,Midwest,Reseller,62,Loss,3,44,44,3000,5,5,0,Unknown,0,1,0,1
6426455,Motorcycle Parts,Performance & Non-auto,Midwest,Reseller,89,Loss,2,18,18,60000,4,5,0,Unknown,0,1,0,4
6426472,Interior Accessories,Car Accessories,Pacific,Fields Sales,88,Loss,2,18,18,30000,1,1,0,Unknown,0,1,0,3
6426584,Shelters & RV,Performance & Non-auto,Pacific,Telesales,89,Loss,3,18,18,25000,1,1,0,Unknown,0,0.365714,0.634286,3
6426634,Batteries & Accessories,Car Accessories,Pacific,Fields Sales,89,Loss,3,18,18,775073,1,1,0,Unknown,0.237569,0.762431,0,7
6426670,Interior Accessories,Car Accessories,Midwest,Fields Sales,81,Loss,2,25,25,80000,1,3,0,None,0,1,0,4
6426678,Interior Accessories,Car Accessories,Midwest,Fields Sales,81,Loss,4,9,9,50000,1,1,0,None,0,1,0,4
6426689,Towing & Hitches,Car Accessories,Midwest,Reseller,85,Loss,2,22,22,110000,4,2,0,Known,0,1,0,5
6426704,Exterior Accessories,Car Accessories,Midwest,Fields Sales,43,Won,4,2,0,18404,4,1,1,Unknown,0,0.133333,0,2
6426744,Shelters & RV,Performance & Non-auto,Pacific,Other,73,Loss,2,34,34,200000,1,1,0,Unknown,0,1,0,5
6429382,Shelters & RV,Performance & Non-auto,Midwest,Reseller,83,Won,4,24,24,89527,1,1,0,Unknown,0.331933,0.546218,0.121849,4
6429384,Motorcycle Parts,Performance & Non-auto,Midwest,Reseller,62,Loss,2,45,45,30000,1,1,0,Unknown,0,1,0,3
6429442,Exterior Accessories,Car Accessories,Pacific,Reseller,80,Loss,2,27,27,38753,3,1,0,Unknown,0,1,0,3
6429449,Exterior Accessories,Car Accessories,Pacific,Reseller,70,Loss,2,36,36,38753,1,1,0,Unknown,0,1,0,3
6429475,Exterior Accessories,Car Accessories,Northwest,Reseller,84,Loss,2,23,23,25000,1,1,0,Unknown,0,1,0,3
6429476,Exterior Accessories,Car Accessories,Pacific,Reseller,72,Loss,2,35,35,38753,1,1,0,Unknown,0,1,0,3
6429514,Shelters & RV,Performance & Non-auto,Midwest,Reseller,24,Won,4,1,1,61000,3,4,0,Unknown,0,0.125,0.875,4
6429547,Garage & Car Care,Car Accessories,Midwest,Reseller,45,Won,2,0,0,6774,3,3,1,Unknown,0,0,0,1
6429564,Exterior Accessories,Car Accessories,Northwest,Reseller,84,Loss,2,23,23,25000,1,2,0,Unknown,0,1,0,3
6429572,Exterior Accessories,Car Accessories,Northwest,Reseller,84,Loss,2,23,23,25000,1,1,0,Unknown,0,1,0,3
6429616,Motorcycle Parts,Performance & Non-auto,Pacific,Reseller,36,Loss,5,63,63,62519,1,1,0,Unknown,0,0.363492,0.636508,4
6429658,Towing & Hitches,Car Accessories,Midwest,Fields Sales,84,Loss,4,23,23,10000,1,1,0,Unknown,0.275109,0.724891,0,2
6429682,Exterior Accessories,Car Accessories,Midwest,Fields Sales,71,Loss,4,36,36,105000,5,1,3,None,0.008357,0.083565,0.908078,5
6429826,Interior Accessories,Car Accessories,Midwest,Fields Sales,86,Loss,2,21,21,200000,1,4,0,Unknown,1,0,0,5
6429837,Garage & Car Care,Car Accessories,Pacific,Fields Sales,63,Loss,4,2,1,11000,1,1,0,None,0.736842,0,0,2
6429863,Replacement Parts,Car Accessories,Pacific,Other,90,Loss,3,17,17,58500,5,4,0,Unknown,0.041916,0.958084,0,4
6429901,Exterior Accessories,Car Accessories,Midwest,Fields Sales,73,Loss,2,34,34,75000,3,5,0,Unknown,1,0,0,4
6429906,Exterior Accessories,Car Accessories,Midwest,Reseller,24,Won,3,1,1,7000,1,2,1,Unknown,0,1,0,1
6429954,Garage & Car Care,Car Accessories,Pacific,Other,87,Loss,3,20,20,1500,2,1,0,None,0,0.418367,0.581633,1
6430008,Exterior Accessories,Car Accessories,Northwest,Fields Sales,61,Loss,7,46,44,65789,1,4,0,Known,0,0.47046,0.485777,4
6430035,Exterior Accessories,Car Accessories,Pacific,Telesales,91,Won,5,3,3,30001,3,1,0,Unknown,0,0.793103,0.137931,3
6430090,Interior Accessories,Car Accessories,Pacific,Fields Sales,75,Loss,2,31,31,50000,4,3,0,Unknown,0,1,0,4
6430093,Motorcycle Parts,Performance & Non-auto,Pacific,Fields Sales,85,Loss,3,22,22,150000,1,1,0,Unknown,0.707763,0.292237,0,5
6430126,Exterior Accessories,Car Accessories,Midwest,Fields Sales,51,Loss,2,56,56,108000,4,5,0,Unknown,0,0,1,5
6430180,Motorcycle Parts,Performance & Non-auto,Midwest,Fields Sales,82,Loss,2,25,25,55214,5,2,0,Unknown,0,1,0,4
6430238,Shelters & RV,Performance & Non-auto,Midwest,Fields Sales,83,Loss,4,17,17,100000,4,5,3,Unknown,0.327485,0.672515,0,5
6430266,Replacement Parts,Car Accessories,Midwest,Reseller,89,Loss,3,17,17,1500,3,2,0,Unknown,0.028736,0.971264,0,1
6430274,Replacement Parts,Car Accessories,Pacific,Other,84,Won,9,23,19,12350,1,1,0,Unknown,0,0.174672,0.650655,2
6430310,Exterior Accessories,Car Accessories,Midwest,Fields Sales,89,Loss,2,17,17,95000,5,3,0,Known,0,1,0,4
6430314,Shelters & RV,Performance & Non-auto,Midwest,Fields Sales,67,Loss,3,39,39,150000,5,1,0,Unknown,0.084184,0,0.915816,5
6430319,Interior Accessories,Car Accessories,Pacific,Fields Sales,86,Loss,2,21,21,155014,1,5,0,Unknown,1,0,0,5
6430335,Interior Accessories,Car Accessories,Pacific,Telesales,60,Loss,3,43,43,51154,4,2,0,Unknown,1,0,0,4
6432595,Exterior Accessories,Car Accessories,Midwest,Reseller,24,Won,3,6,6,15000,1,4,0,Unknown,0,1,0,2
6432681,Garage & Car Care,Car Accessories,Northwest,Reseller,24,Won,4,4,0,11984,1,1,0,Unknown,0,0.02439,0,2
6432690,Shelters & RV,Performance & Non-auto,Midwest,Reseller,24,Won,3,6,6,29488,1,1,0,Unknown,0,1,0,3
6432714,Towing & Hitches,Car Accessories,Pacific,Reseller,70,Loss,2,36,36,15501,1,1,0,Unknown,0,1,0,2
6432727,Towing & Hitches,Car Accessories,Midwest,Reseller,82,Won,8,16,10,27100,4,4,0,Unknown,0,0.006452,0.606452,3
6432730,Shelters & RV,Performance & Non-auto,Midwest,Reseller,24,Won,4,3,3,47000,1,4,2,Unknown,0,0.030303,0.969697,3
6432780,Exterior Accessories,Car Accessories,Pacific,Other,88,Loss,4,18,18,100000,1,1,0,Unknown,0.005525,0.447514,0.546961,5
6432836,Replacement Parts,Car Accessories,Pacific,Fields Sales,91,Loss,2,15,15,50000,4,1,0,None,1,0,0,4
6432842,Shelters & RV,Performance & Non-auto,Pacific,Other,47,Loss,3,60,60,200000,4,5,0,Known,0.013333,0.986667,0,5
6432853,Replacement Parts,Car Accessories,Pacific,Other,83,Loss,2,23,23,50000,1,1,0,Known,0,1,0,4
6432857,Motorcycle Parts,Performance & Non-auto,Pacific,Fields Sales,102,Won,3,4,2,71300,1,1,1,Unknown,0,0,0.511628,4
6432868,Towing & Hitches,Car Accessories,Pacific,Reseller,74,Loss,4,33,33,31002,1,5,0,Unknown,0.281818,0.245455,0.472727,3
6432890,Motorcycle Parts,Performance & Non-auto,Pacific,Fields Sales,84,Loss,3,22,22,70000,1,1,0,Unknown,0.036036,0.963964,0,4
6432893,Performance Parts,Performance & Non-auto,Midwest,Fields Sales,78,Loss,4,29,29,61349,2,5,0,Unknown,0.021053,0.719298,0.259649,4
6433006,Exterior Accessories,Car Accessories,Midwest,Fields Sales,43,Won,5,14,12,112000,4,2,0,Unknown,0,0.503546,0.333333,5
6433036,Batteries & Accessories,Car Accessories,Midwest,Fields Sales,88,Loss,3,19,19,125000,5,4,1,Known,0,0.290323,0.709677,5
6433038,Shelters & RV,Performance & Non-auto,Midwest,Fields Sales,16,Loss,2,90,90,250000,4,1,0,Unknown,1,0,0,6
6433040,Interior Accessories,Car Accessories,Pacific,Other,65,Loss,3,42,42,750000,4,5,0,Known,0.787081,0.212919,0,7
6433089,Garage & Car Care,Car Accessories,Pacific,Telesales,87,Won,4,6,6,7000,1,3,0,Known,0,0.315789,0.684211,1
6433096,Batteries & Accessories,Car Accessories,Midwest,Reseller,75,Won,3,1,1,1676,1,1,0,Unknown,0,1,0,1
6433103,Replacement Parts,Car Accessories,Pacific,Other,81,Loss,3,26,26,25000,4,4,2,None,0.138462,0.861538,0,3
6433111,Exterior Accessories,Car Accessories,Pacific,Telesales,28,Loss,4,78,78,100000,1,1,0,Unknown,1,0,0,5
6433136,Garage & Car Care,Car Accessories,Midwest,Reseller,71,Loss,4,36,36,12960,2,2,0,None,0.225352,0.774648,0,2
6433242,Replacement Parts,Car Accessories,Pacific,Reseller,87,Loss,2,20,20,15000,4,3,0,None,0,1,0,2
6435241,Exterior Accessories,Car Accessories,Midwest,Reseller,24,Won,6,1,1,22699,4,1,1,Unknown,0,0.666667,0.333333,2
6435274,Motorcycle Parts,Performance & Non-auto,Midwest,Reseller,87,Loss,2,20,20,90000,1,1,0,Unknown,0,1,0,4
6435289,Motorcycle Parts,Performance & Non-auto,Midwest,Reseller,75,Won,3,31,31,14420,4,3,0,Unknown,0,0.945338,0.054662,2
6435370,Shelters & RV,Performance & Non-auto,Pacific,Reseller,89,Loss,2,17,17,40000,1,1,0,Unknown,0,1,0,3
6435437,Garage & Car Care,Car Accessories,Midwest,Reseller,83,Loss,2,24,24,5850,3,2,0,Unknown,0,1,0,1
6435463,Batteries & Accessories,Car Accessories,Pacific,Fields Sales,81,Loss,4,26,26,75000,5,2,0,Known,0.403101,0.596899,0,4
6435467,Exterior Accessories,Car Accessories,Midwest,Reseller,70,Loss,2,36,36,8400,1,1,0,Unknown,0,1,0,1
6435503,Garage & Car Care,Car Accessories,Midwest,Fields Sales,62,Loss,5,45,45,122699,1,1,0,Known,0.024719,0.975281,0,5
6435560,Exterior Accessories,Car Accessories,Midwest,Fields Sales,86,Loss,4,20,20,15000,1,1,0,Known,0.207921,0.158416,0.633663,2
6435573,Shelters & RV,Performance & Non-auto,Midwest,Fields Sales,87,Loss,2,20,20,150000,1,1,0,Unknown,0,0,1,5
6435602,Shelters & RV,Performance & Non-auto,Midwest,Fields Sales,84,Loss,2,23,23,200000,1,1,0,Unknown,1,0,0,5
6435623,Garage & Car Care,Car Accessories,Midwest,Fields Sales,81,Loss,2,25,25,105000,5,5,0,Unknown,1,0,0,5
6435624,Shelters & RV,Performance & Non-auto,Midwest,Fields Sales,84,Loss,3,22,22,50000,2,4,0,Known,0.045249,0.954751,0,4
6435668,Exterior Accessories,Car Accessories,Pacific,Telesales,78,Loss,4,29,29,75000,1,1,0,None,0.170732,0.425087,0.404181,4
6435781,Shelters & RV,Performance & Non-auto,Midwest,Fields Sales,80,Loss,4,20,20,1000000,2,5,0,Known,0,0.247525,0.752475,7
6435785,Exterior Accessories,Car Accessories,Pacific,Other,73,Loss,2,33,33,65000,1,1,0,Unknown,0,1,0,4
6435792,Exterior Accessories,Car Accessories,Pacific,Fields Sales,65,Loss,2,41,41,110000,4,4,0,None,0,1,0,5
6435799,Exterior Accessories,Car Accessories,Pacific,Other,84,Loss,2,22,22,125000,1,1,0,Known,0,1,0,5
6435804,Exterior Accessories,Car Accessories,Midwest,Fields Sales,82,Loss,3,25,25,95000,1,1,4,Known,0.044177,0.955823,0,4
6435866,Motorcycle Parts,Performance & Non-auto,Pacific,Other,70,Loss,4,36,36,101000,2,1,0,Unknown,0.141667,0.644444,0.213889,5
6435891,Exterior Accessories,Car Accessories,Pacific,Fields Sales,73,Loss,2,33,33,77507,4,5,0,Unknown,1,0,0,4
6435919,Motorcycle Parts,Performance & Non-auto,Midwest,Reseller,69,Loss,5,38,26,25000,2,3,0,None,0.168,0.536,0,3
6435923,Shelters & RV,Performance & Non-auto,Pacific,Fields Sales,58,Won,5,49,26,85300,1,1,0,Known,0.055556,0.012346,0.473251,4
6435931,Interior Accessories,Car Accessories,Pacific,Fields Sales,83,Won,8,22,13,77500,1,1,0,Unknown,0.259259,0.046296,0.282407,4
6435954,Exterior Accessories,Car Accessories,Midwest,Fields Sales,62,Loss,3,45,45,0,5,4,0,Known,0,0.267416,0.732584,1
6435965,Shelters & RV,Performance & Non-auto,Midwest,Fields Sales,57,Loss,5,49,49,250000,4,4,0,Unknown,0.008163,0.697959,0.293878,6
6435979,Shelters & RV,Performance & Non-auto,Midwest,Fields Sales,60,Loss,4,47,47,700000,4,4,0,Unknown,0.008584,0.583691,0.407725,7
6435987,Towing & Hitches,Car Accessories,Midwest,Fields Sales,89,Loss,3,18,18,6000,5,3,0,Known,0.16,0,0.84,1
6438148,Exterior Accessories,Car Accessories,Pacific,Reseller,88,Loss,2,19,19,31002,1,1,0,Unknown,0,1,0,3
6438156,Garage & Car Care,Car Accessories,Pacific,Reseller,24,Won,3,2,2,31002,1,1,0,Unknown,0,1,0,3
6438173,Interior Accessories,Car Accessories,Midwest,Reseller,63,Loss,4,43,43,80000,3,3,0,Unknown,0,1,0,4
6438215,Motorcycle Parts,Performance & Non-auto,Midwest,Reseller,46,Loss,3,57,57,35000,3,3,0,Unknown,0,1,0,3
6438257,Car Electronics,Car Electronics,Pacific,Reseller,16,Loss,5,87,87,2873,1,1,0,Unknown,0,1,0,1
6438272,Car Electronics,Car Electronics,Pacific,Reseller,16,Loss,5,87,87,10345,1,1,0,Unknown,0,1,0,2
6438306,Garage & Car Care,Car Accessories,Midwest,Reseller,80,Loss,3,26,26,1216,1,1,0,Unknown,0.249042,0.750958,0,1
6438311,Car Electronics,Car Electronics,Midwest,Reseller,24,Won,2,0,0,10392,5,1,0,Unknown,0,0,0,2
6438314,Performance Parts,Performance & Non-auto,Midwest,Reseller,91,Loss,2,16,16,50000,3,1,0,Unknown,0,1,0,4
6438357,Motorcycle Parts,Performance & Non-auto,Midwest,Reseller,62,Loss,2,44,44,4294,1,1,0,Unknown,0,1,0,1
6438370,Performance Parts,Performance & Non-auto,Midwest,Reseller,44,Loss,2,63,63,13700,1,1,0,Unknown,0,1,0,2
6438399,Motorcycle Parts,Performance & Non-auto,Midwest,Reseller,24,Won,2,0,0,31404,1,1,0,Unknown,0,0,0,3
6438402,Exterior Accessories,Car Accessories,Midwest,Fields Sales,91,Loss,3,16,16,150000,5,1,0,None,0,0.191083,0.808917,5
6438410,Performance Parts,Performance & Non-auto,Northwest,Fields Sales,58,Loss,3,28,28,60000,1,1,0,Unknown,1,0,0,4
6438512,Replacement Parts,Car Accessories,Pacific,Other,90,Loss,5,10,10,70000,5,5,0,Unknown,0,0.85,0.15,4
6438531,Shelters & RV,Performance & Non-auto,Pacific,Other,62,Loss,3,44,44,150000,1,1,0,Unknown,0.238739,0,0.761261,5
6438571,Batteries & Accessories,Car Accessories,Pacific,Fields Sales,89,Loss,2,17,17,100000,5,4,0,None,0,1,0,5
6438590,Garage & Car Care,Car Accessories,Midwest,Fields Sales,84,Loss,2,22,22,61349,1,1,0,Unknown,1,0,0,4
6438592,Exterior Accessories,Car Accessories,Pacific,Fields Sales,90,Loss,2,17,17,100000,1,1,0,Unknown,1,0,0,5
6438635,Motorcycle Parts,Performance & Non-auto,Pacific,Reseller,29,Loss,9,76,76,150000,5,1,0,Known,0.051248,0.948752,0,5
